A, B, NO, 152, 69, .454, ¥, ¥, ¥, ¥, ¥, ¥, ¥, 13, 9999, ¥, , N, .62, .25, .019, 0, ¥, ¥, ¥, , , ¥, ¥, ¥, 0
AWFUL, GREAT, YES, 132, 2, .015, .014, .0100, .0217, 3, 0, 4.0, 1, 11, 17, 2.28, , AJ, 2.91, .46, .038, 1, 18, 665, 3.03, G, AJ, 2.69, .44, .081, 1
AWFUL, WONDERFUL, YES, 132, 2, .015, 0.000, .0020, .0071, 2, 0, 2.0, 1, 11, 17, 2.28, , AJ, 2.91, .46, .038, 1, 17, 53, 2.17, , AJ, 2.31, .31, .024, 1
AWFUL, YUCK, YES, 132, 2, .015, 0.000, .0010, .0274, 2, 0, 3.0, 1, 11, 17, 2.28, , AJ, 2.91, .46, .038, 1, 15, 0, ¥, , I, 2.07, .43, .019, 1
AWKWARD, WEIRD, YES, 152, 26, .171, 0.000, .0200, .0157, 3, 1, 3.0, 0, 16, 11, 3.25, , AJ, 1.13, .13, .007, 1, 15, 10, 2.39, , AJ, 3.69, .85, .165, 1
AWKWARD, CLUMSY, YES, 152, 15, .099, .069, 0.0000, 0.0000, 0, 1, 0.0, 0, 16, 11, 3.25, , AJ, 1.13, .13, .007, 1, 17, 6, 3.82, , AJ, 1.08, .31, .011, 0
AWKWARD, UNCOMFORTABLE, YES, 152, 15, .099, 0.000, .0050, .0032, 2, 1, 3.0, 1, 16, 11, 3.25, , AJ, 1.13, .13, .007, 1, 19, 13, ¥, , AJ, 1.39, .17, .013, 1
AWKWARD, FUNNY, YES, 152, 10, .066, 0.000, 0.0000, 0.0000, 0, 1, 0.0, 0, 16, 11, 3.25, , AJ, 1.13, .13, .007, 1, 17, 41, 3.23, , AJ, 2.67, .60, .133, 1
AWKWARD, STRANGE, YES, 152, 7, .046, 0.000, .0550, .0752, 2, 1, 2.0, 0, 16, 11, 3.25, , AJ, 1.13, .13, .007, 1, 12, 84, 2.45, , AJ, 3.80, .70, .169, 1
AWKWARD, DIFFERENT, YES, 152, 6, .039, 0.000, .0080, .0046, 2, 1, 2.0, 0, 16, 11, 3.25, , AJ, 1.13, .13, .007, 1, 12, 312, 2.75, , AJ, 3.45, 1.00, .310, 1
AWKWARD, SHY, YES, 152, 5, .033, 0.000, 0.0000, .0002, 0, 1, 1.0, 1, 16, 11, 3.25, , AJ, 1.13, .13, .007, 1, 16, 13, ¥, , AJ, 1.57, .50, .154, 1
AWKWARD, UNEASY, YES, 152, 4, .026, 0.000, .0070, .0135, 1, 1, 3.0, 2, 16, 11, 3.25, , AJ, 1.13, .13, .007, 1, 19, 22, ¥, , ADJ, 2.47, .18, .009, 1
AWKWARD, COMFORTABLE, YES, 152, 3, .020, 0.000, .0060, .0063, 2, 1, 2.0, 1, 16, 11, 3.25, , AJ, 1.13, .13, .007, 1, 23, 37, ¥, , AJ, 2.10, .29, .033, 1
AWKWARD, DRUNK, YES, 152, 2, .013, 0.000, 0.0000, 0.0000, 0, 1, 0.0, 0, 16, 11, 3.25, , AJ, 1.13, .13, .007, 1, 19, 37, 4.65, G, AJ, 2.56, .72, .081, 1
AWKWARD, EASY, YES, 152, 2, .013, 0.000, .0020, 0.0000, 2, 1, 0.0, 0, 16, 11, 3.25, , AJ, 1.13, .13, .007, 1, 8, 125, 2.81, G, V, .38, .63, .064, 1
AWKWARD, EMBARRASSED, NO, 152, 2, .013, ¥, ¥, ¥, ¥, ¥, ¥, ¥, 16, 11, 3.25, , AJ, 1.13, .13, .007, 1, ¥, ¥, ¥, , , ¥, ¥, ¥, 0
AWKWARD, ME, YES, 152, 2, .013, 0.000, .0040, .0022, 2, 1, 1.0, 0, 16, 11, 3.25, , AJ, 1.13, .13, .007, 1, 12, 1181, 5.00, , P, 1.09, .64, .402, 0
AWKWARD, MOMENT, YES, 152, 2, .013, 0.000, 0.0000, 0.0000, 0, 1, 0.0, 0, 16, 11, 3.25, , AJ, 1.13, .13, .007, 1, 14, 246, 2.68, , N, 1.14, .14, .001, 1
AWKWARD, SITUATION, YES, 152, 2, .013, .014, .0020, 0.0000, 1, 1, 0.0, 0, 16, 11, 3.25, , AJ, 1.13, .13, .007, 1, 16, 196, 2.76, , N, 1.13, .13, .009, 1
AWKWARD, STRAIGHT, YES, 152, 2, .013, 0.000, 0.0000, 0.0000, 0, 1, 0.0, 0, 16, 11, 3.25, , AJ, 1.13, .13, .007, 1, 12, 114, 3.89, , AJ, .91, .91, .138, 1
AX, TREE, YES, 152, 18, .118, 0.000, .0110, 0.0000, 2, 0, 0.0, 0, 18, 6, 6.65, G, N, 2.61, .06, .015, 1, 21, 59, 6.62, , N, .76, .76, .275, 1
AX, HANDLE, YES, 152, 15, .099, 0.000, 0.0000, 0.0000, 0, 0, 0.0, 0, 18, 6, 6.65, G, N, 2.61, .06, .015, 1, 20, 53, 5.29, G, N, 1.42, .21, .010, 1
AX, CHOP, YES, 152, 14, .092, 0.000, .0030, .0209, 2, 0, 3.0, 2, 18, 6, 6.65, G, N, 2.61, .06, .015, 1, 15, 3, 4.08, N, V, .90, .40, .015, 0
AX, WOOD, YES, 152, 11, .072, 0.000, .0110, .0206, 3, 0, 4.0, 1, 18, 6, 6.65, G, N, 2.61, .06, .015, 1, 26, 55, 5.81, , N, 1.73, .50, .029, 1
AX, HAMMER, YES, 152, 7, .046, 0.000, .0110, .0015, 3, 0, 3.0, 1, 18, 6, 6.65, G, N, 2.61, .06, .015, 1, 7, 9, 5.77, , N, .57, .57, .517, 1
AX, KNIFE, YES, 152, 7, .046, 0.000, .0200, .0124, 7, 0, 3.0, 0, 18, 6, 6.65, G, N, 2.61, .06, .015, 1, 13, 76, 6.08, , N, 1.46, .69, .222, 1
AX, MURDER, YES, 152, 7, .046, 0.000, .0120, .0232, 2, 0, 3.0, 2, 18, 6, 6.65, G, N, 2.61, .06, .015, 1, 10, 75, 4.68, , N, 2.70, .30, .164, 1
AX, SHARP, YES, 152, 7, .046, 0.000, .0050, .0085, 2, 0, 2.0, 1, 18, 6, 6.65, G, N, 2.61, .06, .015, 1, 18, 72, 4.12, N, AJ, 2.24, .59, .108, 1
AX, CUT, YES, 152, 6, .039, 0.000, .0530, .0098, 8, 0, 4.0, 0, 18, 6, 6.65, G, N, 2.61, .06, .015, 1, 21, 192, 4.15, G, N, 1.35, .60, .072, 1
AX, KILL, YES, 152, 6, .039, 0.000, .0270, .0142, 3, 0, 3.0, 2, 18, 6, 6.65, G, N, 2.61, .06, .015, 1, 19, 63, 3.77, , V, 2.06, .47, .200, 1
AX, HATCHET, YES, 152, 5, .033, .467, 0.0000, .0123, 0, 0, 9.0, 9, 18, 6, 6.65, G, N, 2.61, .06, .015, 1, 13, 4, 6.03, , N, 2.58, .08, .015, 1
AX, BLOOD, YES, 152, 3, .020, 0.000, .0080, .0011, 4, 0, 1.0, 0, 18, 6, 6.65, G, N, 2.61, .06, .015, 1, 20, 121, 6.55, , N, .53, .65, .123, 1
AX, PICK, YES, 152, 3, .020, 0.000, 0.0000, .0004, 0, 0, 1.0, 1, 18, 6, 6.65, G, N, 2.61, .06, .015, 1, 13, 55, 4.98, W, V, .50, .25, .141, 1
AX, SAW, YES, 152, 3, .020, 0.000, .0040, .0284, 5, 0, 5.0, 1, 18, 6, 6.65, G, N, 2.61, .06, .015, 1, 13, 352, 4.57, N, N, .92, .46, .017, 1
AX, TOOL, YES, 152, 3, .020, 0.000, .0050, .0189, 4, 0, 2.0, 0, 18, 6, 6.65, G, N, 2.61, .06, .015, 1, 12, 40, 5.33, N, N, 1.33, .58, .047, 1
AX, HEAD, YES, 152, 2, .013, 0.000, .0010, 0.0000, 1, 0, 0.0, 0, 18, 6, 6.65, G, N, 2.61, .06, .015, 1, 15, 424, 5.98, N, N, .87, .60, .079, 1
AX, SWORD, YES, 152, 2, .013, 0.000, .0020, .0183, 1, 0, 4.0, 3, 18, 6, 6.65, G, N, 2.61, .06, .015, 1, 18, 7, 5.25, , N, 2.00, .40, .051, 1
AX, WHAT, YES, 152, 2, .013, 0.000, 0.0000, 0.0000, 0, 0, 0.0, 0, 18, 6, 6.65, G, N, 2.61, .06, .015, 1, 10, 1908, 2.89, , P, 2.75, .63, .056, 1
AXON, NEURON, YES, 150, 26, .173, .014, .0030, .0153, 1, 4, 6.0, 4, 14, 0, ¥, , N, 1.60, .10, .002, 0, 16, 1, 4.20, , N, 1.38, .15, .006, 1
AXON, DENDRITE, NO, 150, 21, .140, ¥, ¥, ¥, ¥, ¥, ¥, ¥, 14, 0, ¥, , N, 1.60, .10, .002, 0, ¥, ¥, ¥, , , ¥, ¥, ¥, 0
AXON, NERVE, YES, 150, 14, .093, 0.000, .0190, .0110, 2, 4, 3.0, 1, 14, 0, ¥, , N, 1.60, .10, .002, 0, 24, 12, 4.51, , N, 1.11, .16, .005, 0
AXON, CELL, YES, 150, 5, .033, 0.000, .0130, .0021, 4, 4, 2.0, 0, 14, 0, ¥, , N, 1.60, .10, .002, 0, 16, 65, 6.63, N, N, 1.14, .64, .032, 1
AXON, SYNAPSE, NO, 150, 5, .033, ¥, ¥, ¥, ¥, ¥, ¥, ¥, 14, 0, ¥, , N, 1.60, .10, .002, 0, ¥, ¥, ¥, , , ¥, ¥, ¥, 0
AXON, GAS, YES, 150, 4, .027, 0.000, .0020, 0.0000, 1, 4, 0.0, 0, 14, 0, ¥, , N, 1.60, .10, .002, 0, 10, 98, 5.34, N, N, 1.20, .70, .153, 1
AXON, AX, YES, 150, 3, .020, 0.000, 0.0000, 0.0000, 0, 4, 0.0, 0, 14, 0, ¥, , N, 1.60, .10, .002, 0, 18, 6, 6.65, G, N, 2.61, .06, .015, 1
AXON, BIOLOGY, YES, 150, 3, .020, 0.000, .0060, .0030, 2, 4, 2.0, 0, 14, 0, ¥, , N, 1.60, .10, .002, 0, 22, 7, 3.96, , N, 2.00, .30, .050, 1
AXON, BRAIN, YES, 150, 3, .020, 0.000, .0330, .0019, 3, 4, 2.0, 0, 14, 0, ¥, , N, 1.60, .10, .002, 0, 17, 45, 5.32, , N, 1.62, .69, .090, 1
AXON, AJAX, NO, 150, 2, .013, ¥, ¥, ¥, ¥, ¥, ¥, ¥, 14, 0, ¥, , N, 1.60, .10, .002, 0, ¥, ¥, ¥, , , ¥, ¥, ¥, 0
AXON, FLUX, NO, 150, 2, .013, ¥, ¥, ¥, ¥, ¥, ¥, ¥, 14, 0, ¥, , N, 1.60, .10, .002, 0, ¥, ¥, ¥, , , ¥, ¥, ¥, 0
AXON, LINE, YES, 150, 2, .013, 0.000, 0.0000, 0.0000, 0, 4, 0.0, 0, 14, 0, ¥, , N, 1.60, .10, .002, 0, 18, 298, 4.65, T, N, .76, .41, .061, 1
AXON, PISTON, YES, 150, 2, .013, 0.000, 0.0000, 0.0000, 0, 4, 0.0, 0, 14, 0, ¥, , N, 1.60, .10, .002, 0, 9, 7, 6.87, , N, 1.00, 0.00, 0.000, 0
AXON, SCIENCE, YES, 150, 2, .013, 0.000, .0120, .0043, 2, 4, 1.0, 0, 14, 0, ¥, , N, 1.60, .10, .002, 0, 18, 131, 4.14, , N, 1.72, .67, .067, 1
BABY, CHILD, YES, 156, 33, .212, .202, .0230, .0132, 8, 0, 9.0, 4, 19, 62, 5.77, , N, 2.05, .63, .140, 1, 15, 213, 5.72, , N, 2.60, .53, .163, 1
BABY, CRY, YES, 156, 18, .115, .109, .0050, 0.0000, 2, 0, 0.0, 0, 19, 62, 5.77, , N, 2.05, .63, .140, 1, 14, 48, 4.32, , V, 1.69, .77, .292, 1
BABY, SMALL, YES, 156, 12, .077, 0.000, .0220, .0026, 3, 0, 1.0, 0, 19, 62, 5.77, , N, 2.05, .63, .140, 1, 9, 542, 3.98, , AJ, 1.88, .88, .427, 1
BABY, BOTTLE, YES, 156, 7, .045, .020, 0.0000, 0.0000, 0, 0, 0.0, 0, 19, 62, 5.77, , N, 2.05, .63, .140, 1, 20, 76, 6.94, , N, 2.80, .45, .011, 1
BABY, CUTE, YES, 156, 7, .045, .014, .0010, .0028, 2, 0, 2.0, 2, 19, 62, 5.77, , N, 2.05, .63, .140, 1, 18, 5, 3.10, , AJ, 2.25, .56, .072, 1
BABY, INFANT, YES, 156, 7, .045, .746, 0.0000, .0177, 0, 0, 4.0, 4, 19, 62, 5.77, , N, 2.05, .63, .140, 1, 6, 11, 6.76, , N, 2.00, .20, .034, 1
BABY, MOTHER, YES, 156, 7, .045, 0.000, .0070, .0021, 3, 0, 1.0, 0, 19, 62, 5.77, , N, 2.05, .63, .140, 1, 13, 216, 5.47, , N, 2.46, .69, .439, 1
BABY, CRIB, YES, 156, 5, .032, .842, 0.0000, 0.0000, 0, 0, 0.0, 0, 19, 62, 5.77, , N, 2.05, .63, .140, 1, 4, 5, 6.45, , N, 0.00, .25, .027, 1
BABY, DOLL, YES, 156, 5, .032, .128, 0.0000, .0131, 0, 0, 2.0, 2, 19, 62, 5.77, , N, 2.05, .63, .140, 1, 13, 10, 5.36, , N, 1.18, .36, .024, 1
BABY, LITTLE, YES, 156, 5, .032, 0.000, .0110, .0300, 4, 0, 2.0, 1, 19, 62, 5.77, , N, 2.05, .63, .140, 1, 7, 831, 3.48, , AJ, 1.71, .57, .081, 1
BABY, BOY, YES, 156, 4, .026, 0.000, .0270, .0164, 4, 0, 3.0, 1, 19, 62, 5.77, , N, 2.05, .63, .140, 1, 10, 242, 6.23, , N, 1.00, .60, .529, 1
BABY, ADULT, YES, 156, 3, .019, 0.000, .0240, .0988, 3, 0, 3.0, 1, 19, 62, 5.77, , N, 2.05, .63, .140, 1, 12, 25, 4.88, , N, 2.27, .55, .067, 1
BABY, DIAPER, YES, 156, 3, .019, .591, 0.0000, .0040, 0, 0, 1.0, 1, 19, 62, 5.77, , N, 2.05, .63, .140, 1, 9, 3, 6.30, , N, .29, .29, .013, 1
BABY, GIRL, YES, 156, 3, .019, 0.000, .0290, .0192, 6, 0, 1.0, 0, 19, 62, 5.77, , N, 2.05, .63, .140, 1, 8, 220, 6.83, , N, 1.25, 1.00, .535, 1
BABY, YOUNG, YES, 156, 3, .019, 0.000, .0090, .0291, 2, 0, 2.0, 1, 19, 62, 5.77, , N, 2.05, .63, .140, 1, 9, 385, 3.14, , AJ, .75, .38, .151, 1
BABY, CARRIAGE, YES, 156, 2, .013, .187, 0.0000, 0.0000, 0, 0, 0.0, 0, 19, 62, 5.77, , N, 2.05, .63, .140, 1, 13, 11, 6.71, , N, 1.73, .36, .017, 1
BABY, CUDDLE, YES, 156, 2, .013, .091, 0.0000, .0023, 0, 0, 3.0, 3, 19, 62, 5.77, , N, 2.05, .63, .140, 1, 18, 0, 4.30, , V, 2.76, .29, .016, 1
BABY, KID, YES, 156, 2, .013, .020, .0240, .1060, 2, 0, 5.0, 3, 19, 62, 5.77, , N, 2.05, .63, .140, 1, 12, 61, 5.32, N, N, 2.50, .58, .063, 1
BABY, RATTLE, YES, 156, 2, .013, .290, 0.0000, 0.0000, 0, 0, 0.0, 0, 19, 62, 5.77, , N, 2.05, .63, .140, 1, 7, 5, 6.60, G, V, .43, .43, .051, 1
BACK, FRONT, YES, 148, 77, .520, .715, .0100, 0.0000, 2, 0, 0.0, 0, 12, 967, 4.89, , N, 1.25, .50, .406, 1, 5, 221, 4.14, N, N, .20, .40, .375, 1
BACK, BONE, YES, 148, 21, .142, 0.000, .0050, .0003, 3, 0, 1.0, 1, 12, 967, 4.89, , N, 1.25, .50, .406, 1, 19, 33, 5.75, , N, 1.53, .35, .130, 1
BACK, SPINE, YES, 148, 8, .054, .538, 0.0000, .0122, 0, 0, 3.0, 3, 12, 967, 4.89, , N, 1.25, .50, .406, 1, 10, 6, 6.22, , N, 1.11, .33, .057, 0
BACK, ACHE, YES, 148, 5, .034, .042, .0040, 0.0000, 1, 0, 0.0, 0, 12, 967, 4.89, , N, 1.25, .50, .406, 1, 7, 4, 4.33, , V, 1.00, .86, .027, 1
BACK, FORWARD, YES, 148, 4, .027, .038, 0.0000, .0156, 0, 0, 1.0, 1, 12, 967, 4.89, , N, 1.25, .50, .406, 1, 13, 115, ¥, , AJ, 1.25, .63, .374, 0
BACK, BEHIND, YES, 148, 3, .020, .096, 0.0000, .2423, 0, 0, 1.0, 1, 12, 967, 4.89, , N, 1.25, .50, .406, 1, 16, 258, ¥, , AD, 1.54, .31, .016, 1
BACK, BODY, YES, 148, 2, .014, 0.000, .0050, .0006, 5, 0, 1.0, 0, 12, 967, 4.89, , N, 1.25, .50, .406, 1, 31, 276, 6.58, , N, 2.03, .45, .015, 1
BACK, NECK, YES, 148, 2, .014, 0.000, .0010, .0032, 2, 0, 2.0, 1, 12, 967, 4.89, , N, 1.25, .50, .406, 1, 19, 81, 5.83, , N, 1.61, .39, .056, 1
BACK, PERSON, YES, 148, 2, .014, 0.000, .0010, .0002, 1, 0, 1.0, 0, 12, 967, 4.89, , N, 1.25, .50, .406, 1, 14, 175, 6.51, , N, 1.85, .31, .081, 1
BACK, RUB, YES, 148, 2, .014, .039, 0.0000, 0.0000, 0, 0, 0.0, 0, 12, 967, 4.89, , N, 1.25, .50, .406, 1, 23, 6, ¥, , V, 1.40, .15, .027, 1
BACK, SHOULDER, YES, 148, 2, .014, 0.000, .0010, .0036, 1, 0, 3.0, 2, 12, 967, 4.89, , N, 1.25, .50, .406, 1, 21, 61, 5.67, G, N, 1.40, .10, .002, 1
BACK, STOMACH, YES, 148, 2, .014, 0.000, 0.0000, .0100, 0, 0, 2.0, 2, 12, 967, 4.89, , N, 1.25, .50, .406, 1, 17, 37, 6.04, G, N, 1.80, .47, .043, 1
BACKBONE, SPINE, YES, 147, 35, .240, .115, .0020, .0156, 2, 2, 3.0, 1, 14, 4, ¥, , N, 1.17, .08, .028, 0, 10, 6, 6.22, , N, 1.11, .33, .057, 0
BACKBONE, STRONG, YES, 147, 27, .185, 0.000, .0020, 0.0000, 3, 2, 0.0, 0, 14, 4, ¥, , N, 1.17, .08, .028, 0, 11, 202, 3.24, , AJ, 1.30, .60, .297, 1
BACKBONE, VERTEBRA, NO, 147, 10, .068, ¥, ¥, ¥, ¥, ¥, ¥, ¥, 14, 4, ¥, , N, 1.17, .08, .028, 0, ¥, ¥, ¥, , , ¥, ¥, ¥, 0
BACKBONE, BODY, YES, 147, 7, .048, 0.000, .0070, .0040, 5, 2, 2.0, 2, 14, 4, ¥, , N, 1.17, .08, .028, 0, 31, 276, 6.58, , N, 2.03, .45, .015, 1
BACKBONE, RIBS, YES, 147, 5, .034, 0.000, 0.0000, .0010, 0, 2, 1.0, 1, 14, 4, ¥, , N, 1.17, .08, .028, 0, 23, 11, 5.86, , N, 1.59, .12, .021, 0
BACKBONE, BACK, YES, 147, 4, .027, 0.000, .1290, .0136, 1, 2, 2.0, 1, 14, 4, ¥, , N, 1.17, .08, .028, 0, 12, 967, 4.89, , N, 1.25, .50, .406, 1
BACKBONE, SKELETON, YES, 147, 3, .021, 0.000, 0.0000, .0013, 0, 2, 1.0, 1, 14, 4, ¥, , N, 1.17, .08, .028, 0, 11, 2, 6.43, , N, .91, .09, .034, 1
BACKBONE, COURAGE, YES, 147, 2, .014, 0.000, 0.0000, .0152, 0, 2, 1.0, 1, 14, 4, ¥, , N, 1.17, .08, .028, 0, 18, 32, 2.51, , N, 2.47, .35, .079, 1
BACKBONE, FOUNDATION, YES, 147, 2, .014, 0.000, 0.0000, .0006, 0, 2, 1.0, 1, 14, 4, ¥, , N, 1.17, .08, .028, 0, 19, 38, ¥, G, N, .83, .06, .003, 1
BACKBONE, NERVES, YES, 147, 2, .014, 0.000, .0030, .0071, 1, 2, 2.0, 1, 14, 4, ¥, , N, 1.17, .08, .028, 0, 27, 22, ¥, , N, 1.80, .10, .002, 0
BACKBONE, PART, YES, 147, 2, .014, 0.000, .0010, 0.0000, 1, 2, 0.0, 0, 14, 4, ¥, , N, 1.17, .08, .028, 0, 17, 500, 3.05, G, N, 2.07, .47, .097, 1
BACKBONE, STRAIGHT, YES, 147, 2, .014, 0.000, 0.0000, 0.0000, 0, 2, 0.0, 0, 14, 4, ¥, , N, 1.17, .08, .028, 0, 12, 114, 3.89, , AJ, .91, .91, .138, 1
BACKBONE, SUPPORT, YES, 147, 2, .014, 0.000, .0010, .0039, 1, 2, 1.0, 1, 14, 4, ¥, , N, 1.17, .08, .028, 0, 25, 180, 3.00, G, N, .95, .30, .003, 1
BACKBONE, T-BONE, NO, 147, 2, .014, ¥, ¥, ¥, ¥, ¥, ¥, ¥, 14, 4, ¥, , N, 1.17, .08, .028, 0, ¥, ¥, ¥, , , ¥, ¥, ¥, 0
BACKGROUND, PAST, YES, 153, 19, .124, 0.000, .0120, .0020, 2, 6, 1.0, 0, 20, 67, 4.10, , N, .93, .07, .001, 0, 10, 281, 2.86, , AJ, .90, .50, .159, 1
BACKGROUND, FOREGROUND, NO, 153, 16, .105, ¥, ¥, ¥, ¥, ¥, ¥, ¥, 20, 67, 4.10, , N, .93, .07, .001, 0, ¥, ¥, ¥, , , ¥, ¥, ¥, 0
BACKGROUND, SCENERY, YES, 153, 10, .065, 0.000, 0.0000, .0016, 0, 6, 2.0, 2, 20, 67, 4.10, , N, .93, .07, .001, 0, 22, 14, ¥, , N, 1.71, .05, .003, 1
BACKGROUND, HISTORY, YES, 153, 9, .059, .014, .0040, .0243, 1, 6, 1.0, 0, 20, 67, 4.10, , N, .93, .07, .001, 0, 21, 286, 3.03, , N, 1.95, .14, .008, 1
BACKGROUND, MUSIC, YES, 153, 9, .059, 0.000, .0010, .0008, 1, 6, 1.0, 0, 20, 67, 4.10, , N, .93, .07, .001, 0, 25, 216, 5.15, , N, 2.64, .88, .108, 1
BACKGROUND, CHECK, YES, 153, 7, .046, 0.000, 0.0000, 0.0000, 0, 6, 0.0, 0, 20, 67, 4.10, , N, .93, .07, .001, 0, 13, 88, 4.38, N, N, 1.00, .39, .020, 1
BACKGROUND, CHILDHOOD, NO, 153, 6, .039, ¥, ¥, ¥, ¥, ¥, ¥, ¥, 20, 67, 4.10, , N, .93, .07, .001, 0, ¥, ¥, ¥, , , ¥, ¥, ¥, 0
BACKGROUND, FAMILY, YES, 153, 6, .039, 0.000, 0.0000, 0.0000, 0, 6, 0.0, 0, 20, 67, 4.10, , N, .93, .07, .001, 0, 25, 331, 5.85, , N, 2.36, .48, .014, 1
BACKGROUND, NOISE, YES, 153, 6, .039, 0.000, .0010, .0022, 1, 6, 1.0, 0, 20, 67, 4.10, , N, .93, .07, .001, 0, 14, 37, 5.29, , N, 2.15, .69, .166, 1
BACKGROUND, INFORMATION, YES, 153, 5, .033, 0.000, 0.0000, 0.0000, 0, 6, 0.0, 0, 20, 67, 4.10, , N, .93, .07, .001, 0, 22, 269, 3.80, , N, 1.05, .23, .046, 1
BACKGROUND, COLOR, YES, 153, 3, .020, 0.000, .0010, .0028, 2, 6, 1.0, 0, 20, 67, 4.10, , N, .93, .07, .001, 0, 12, 141, 4.45, , N, 3.08, 1.00, .090, 1
BACKGROUND, PICTURE, YES, 153, 3, .020, 0.000, .0060, .0028, 2, 6, 2.0, 1, 20, 67, 4.10, , N, .93, .07, .001, 0, 11, 162, 6.75, , N, 1.50, .90, .354, 1
BACKGROUND, SET, YES, 153, 3, .020, 0.000, 0.0000, 0.0000, 0, 6, 0.0, 0, 20, 67, 4.10, , N, .93, .07, .001, 0, 23, 137, 3.05, N, V, .55, .27, .012, 1
BACKGROUND, BLUE, YES, 153, 2, .013, 0.000, .0040, .0009, 1, 6, 1.0, 0, 20, 67, 4.10, , N, .93, .07, .001, 0, 14, 143, 4.49, N, N, 1.69, .54, .203, 1
BACKGROUND, ETHNICITY, NO, 153, 2, .013, ¥, ¥, ¥, ¥, ¥, ¥, ¥, 20, 67, 4.10, , N, .93, .07, .001, 0, ¥, ¥, ¥, , , ¥, ¥, ¥, 0
BACKGROUND, INVESTIGATION, NO, 153, 2, .013, ¥, ¥, ¥, ¥, ¥, ¥, ¥, 20, 67, 4.10, , N, .93, .07, .001, 0, ¥, ¥, ¥, , , ¥, ¥, ¥, 0
BACKGROUND, MEMORY, YES, 153, 2, .013, 0.000, .0010, .0061, 1, 6, 1.0, 1, 20, 67, 4.10, , N, .93, .07, .001, 0, 15, 76, 1.78, , N, 1.86, .36, .017, 1
BACKGROUND, PAINTING, YES, 153, 2, .013, 0.000, .0050, .0030, 2, 6, 2.0, 1, 20, 67, 4.10, , N, .93, .07, .001, 0, 18, 59, 6.18, , N, 3.00, .53, .036, 1
BACKGROUND, PHOTOGRAPHY, NO, 153, 2, .013, ¥, ¥, ¥, ¥, ¥, ¥, ¥, 20, 67, 4.10, , N, .93, .07, .001, 0, ¥, ¥, ¥, , , ¥, ¥, ¥, 0
BACKGROUND, RESUME, NO, 153, 2, .013, ¥, ¥, ¥, ¥, ¥, ¥, ¥, 20, 67, 4.10, , N, .93, .07, .001, 0, ¥, ¥, ¥, , , ¥, ¥, ¥, 0
BACKPACK, SCHOOL, YES, 139, 36, .259, 0.000, .0360, .0177, 4, 1, 2.0, 0, 12, 1, ¥, , N, 1.82, .27, .023, 1, 22, 492, 5.25, T, N, 3.35, .70, .086, 1
BACKPACK, BOOK, YES, 139, 33, .237, 0.000, .0450, .0142, 4, 1, 1.0, 0, 12, 1, ¥, , N, 1.82, .27, .023, 1, 15, 193, 6.09, , N, 1.57, .71, .237, 1
BACKPACK, HIKE, YES, 139, 12, .086, .034, 0.0000, .0049, 0, 1, 1.0, 1, 12, 1, ¥, , N, 1.82, .27, .023, 1, 14, 4, 4.58, , V, 1.29, .29, .011, 1
BACKPACK, BOOKBAG, YES, 139, 11, .079, .171, 0.0000, .1415, 0, 1, 5.0, 5, 12, 1, ¥, , N, 1.82, .27, .023, 1, 12, 0, ¥, , N, 1.73, .09, .014, 1
BACKPACK, CAMPING, YES, 139, 11, .079, 0.000, .0010, .0003, 1, 1, 1.0, 1, 12, 1, ¥, , N, 1.82, .27, .023, 1, 17, 18, ¥, , V, 1.67, .20, .010, 1
BACKPACK, CARRY, YES, 139, 5, .036, 0.000, .0030, .0084, 2, 1, 2.0, 2, 12, 1, ¥, , N, 1.82, .27, .023, 1, 19, 88, 3.93, G, V, 1.50, .44, .034, 1
BACKPACK, JANSPORT, NO, 139, 3, .022, ¥, ¥, ¥, ¥, ¥, ¥, ¥, 12, 1, ¥, , N, 1.82, .27, .023, 1, ¥, ¥, ¥, , , ¥, ¥, ¥, 0
BACKPACK, KNAPSACK, YES, 139, 3, .022, .291, .0020, .0084, 1, 1, 4.0, 3, 12, 1, ¥, , N, 1.82, .27, .023, 1, 16, 0, ¥, , N, 1.83, .08, .006, 0
BACKPACK, MOUNTAIN, YES, 139, 3, .022, 0.000, .0200, 0.0000, 2, 1, 0.0, 0, 12, 1, ¥, , N, 1.82, .27, .023, 1, 17, 33, 6.25, , N, 1.29, .50, .169, 1
BACKPACK, STUDENT, YES, 139, 3, .022, 0.000, .0110, .0363, 1, 1, 2.0, 1, 12, 1, ¥, , N, 1.82, .27, .023, 1, 22, 131, 6.38, , N, 3.14, .41, .113, 1
BACKPACK, LEATHER, YES, 139, 2, .014, 0.000, 0.0000, .0007, 1, 1, 1.0, 0, 12, 1, ¥, , N, 1.82, .27, .023, 1, 20, 24, 5.71, , N, 1.05, .26, .028, 1
BACKPACK, PURSE, YES, 139, 2, .014, 0.000, .0030, .0002, 3, 1, 1.0, 0, 12, 1, ¥, , N, 1.82, .27, .023, 1, 12, 14, 5.64, , N, 1.50, .50, .183, 1
BACKWARD, FORWARD, YES, 148, 105, .709, .500, .0010, .0026, 1, 1, 3.0, 1, 7, 22, ¥, , AD, 1.50, .17, .355, 1, 13, 115, ¥, , AJ, 1.25, .63, .374, 0
